,月別,產品/業務,單營收(億),單佔比(%),單月增(%),單年增(%),累營收(億),累佔比(%),累年增(%)
690,2012/09,其他,0.0592,1.56,+612.5,+86.8,0.234,0.62,+129.2
691,2012/09,銷貨退回及折讓,0.0177,-0.47,+542.8,+569.4,0.0445,-0.12,+45.6
692,2012/09,業務營收淨額,3.8,100.0,+5.49,+0.19,38,100,+7.45
693,2012/08,瓦斯收入,3.25,90.4,+7.33,+15.6,29.54,86.4,+11.7
694,2012/08,裝置收入,0.267,7.4,-46,-54.6,3.9,11.4,-13.5
695,2012/08,通信收入,0.0394,1.09,0,0,0.315,0.92,0
696,2012/08,器具收入,0.0358,0.99,-9.24,-5.42,0.298,0.87,+14.6
697,2012/08,其他,0.0083,0.23,-37.9,+4.01,0.175,0.51,+148.4
698,2012/08,銷貨退回及折讓,0.0028,-0.08,-14.3,-52.9,0.0268,-0.08,-4.15
699,2012/08,業務營收淨額,3.6,100.0,-0.35,+3.41,34.2,100,+8.32
700,2012/07,瓦斯收入,3.03,83.9,-3.96,+7.51,26.29,85.9,+11.2
701,2012/07,裝置收入,0.493,13.7,-27.1,-17.4,3.63,11.9,-7.37
702,2012/07,通信收入,0.0394,1.09,0,0,0.276,0.9,0
703,2012/07,器具收入,0.0394,1.09,-34.2,+14.8,0.262,0.86,+18
704,2012/07,其他,0.0134,0.37,-82.1,+40.4,0.166,0.54,+166.8
705,2012/07,銷貨退回及折讓,0.0032,-0.09,-33.1,-14.8,0.024,-0.08,+8.79
706,2012/07,業務營收淨額,3.61,100.0,-9.71,+3.36,30.6,100,+8.93
707,2012/06,瓦斯收入,3.16,78.9,-12,+16.1,23.26,86.2,+11.7
708,2012/06,裝置收入,0.676,16.9,+47.1,-5.42,3.14,11.6,-5.57
709,2012/06,器具收入,0.0599,1.5,+53.1,+55,0.223,0.82,+18.6
710,2012/06,通信收入,0.0394,0.99,0,0,0.237,0.88,0
711,2012/06,其他,0.0748,1.87,+708.2,+834.5,0.153,0.57,+189.6
712,2012/06,銷貨退回及折讓,0.0048,-0.12,+44.4,+133.5,0.0208,-0.08,+13.7
713,2012/06,業務營收淨額,4.0,100.0,-3.09,+13.8,26.99,100,+9.72
714,2012/05,瓦斯收入,3.58,86.8,-5.58,+7.3,20.1,87.5,+11.1
715,2012/05,裝置收入,0.46,11.1,-2.52,-18.4,2.46,10.7,-5.61
716,2012/05,通信收入,0.0394,0.95,0,0,0.197,0.86,0
717,2012/05,器具收入,0.0392,0.95,+35.6,+2.68,0.163,0.71,+9.11
718,2012/05,其他,0.0092,0.22,+5.47,+4.28,0.0783,0.34,+74.6
719,2012/05,銷貨退回及折讓,0.0033,-0.08,-12.6,-12.8,0.016,-0.07,-1.54
720,2012/05,業務營收淨額,4.13,100.0,-4.89,+3.56,22.98,100,+9.04
721,2012/04,瓦斯收入,3.8,87.4,-11.1,+8.73,16.52,87.6,+11.9
722,2012/04,裝置收入,0.472,10.9,+20.8,-21.7,2,10.6,-2.08
723,2012/04,通信收入,0.0394,0.91,0,0,0.158,0.84,0
724,2012/04,器具收入,0.0289,0.67,-33.9,+5.32,0.124,0.66,+11.3
725,2012/04,其他,0.0088,0.2,-77.4,-16.3,0.0691,0.37,+92
726,2012/04,銷貨退回及折讓,0.0038,-0.09,+1.87,-14.8,0.0126,-0.07,+1.94
727,2012/04,業務營收淨額,4.34,100.0,-9.13,+4.18,18.86,100,+10.3
728,2012/03,瓦斯收入,4.27,89.4,+1.27,+9.27,12.72,87.6,+12.9
729,2012/03,裝置收入,0.39,8.17,-31.7,+9.89,1.53,10.5,+6.13
730,2012/03,器具收入,0.0437,0.91,+64.8,+32.4,0.0946,0.65,+13.3
731,2012/03,通信收入,0.0394,0.83,0,0,0.118,0.81,0
732,2012/03,其他,0.0388,0.81,+227.4,+338.9,0.0603,0.42,+136.5
733,2012/03,銷貨退回及折讓,0.0037,-0.08,+35.5,+20.6,0.0088,-0.06,+11.3
734,2012/03,業務營收淨額,4.78,100.0,-1.73,+10.1,14.51,100,+12.3
735,2012/02,瓦斯收入,4.22,86.7,-0.51,+25.9,8.45,86.8,+14.9
736,2012/02,裝置收入,0.571,11.8,+0.92,+28.5,1.14,11.7,+4.9
737,2012/02,通信收入,0.0394,0.81,0,0,0.0788,0.81,0
738,2012/02,器具收入,0.0265,0.55,+8.43,+37.4,0.051,0.52,+0.79
739,2012/02,其他,0.0118,0.24,+22.5,+48.7,0.0215,0.22,+29.1
740,2012/02,銷貨退回及折讓,0.0028,-0.06,+18.5,+10.4,0.0051,-0.05,+5.38
741,2012/02,業務營收淨額,4.86,100.0,-0.26,+26.1,9.74,100,+13.4
742,2012/01,瓦斯收入,4.24,86.9,+0.04,+5.65,4.24,86.9,+5.65
743,2012/01,裝置收入,0.566,11.6,+11.4,-11.5,0.566,11.6,-11.5
744,2012/01,通信收入,0.0394,0.81,0,0,0.0394,0.81,0
745,2012/01,器具收入,0.0244,0.5,-45.4,-21.8,0.0244,0.5,-21.8
746,2012/01,其他,0.0097,0.2,+17.9,+11.1,0.0097,0.2,+11.1
747,2012/01,銷貨退回及折讓,0.0023,-0.05,-55.8,0,0.0023,-0.05,0
748,2012/01,業務營收淨額,4.87,100.0,+0.9,+3.11,4.87,100,+3.11
749,2011/12,瓦斯收入,4.24,87.7,+27,+20,40.26,83.4,+8.27
750,2011/12,裝置收入,0.509,10.5,-19.8,-34.8,7.01,14.5,-13.3
751,2011/12,器具收入,0.0448,0.93,+1.24,+17.4,0.419,0.87,+33.1
752,2011/12,通信收入,0.0394,0.82,0,0,0.473,0.98,0
753,2011/12,其他,0.0082,0.17,-76,-24.4,0.153,0.32,+6.7
754,2011/12,銷貨退回及折讓,0.0053,-0.11,+1.54,+33.8,0.0441,-0.09,-18.6
755,2011/12,業務營收淨額,4.83,100.0,+18.4,+9.91,48.27,100,+4.61
756,2011/11,瓦斯收入,3.33,81.7,+0.29,+8.57,36.02,82.9,+7.05
757,2011/11,裝置收入,0.634,15.5,+7.49,+0.3,6.5,15,-11
758,2011/11,器具收入,0.0442,1.08,+30.8,+3.8,0.374,0.86,+35.3
759,2011/11,通信收入,0.0394,0.97,0,0,0.434,1,0
760,2011/11,其他,0.0341,0.84,+293.8,+294.7,0.145,0.33,+9.25
761,2011/11,銷貨退回及折讓,0.0052,-0.13,+67.4,+18.2,0.0389,-0.09,-22.7
762,2011/11,業務營收淨額,4.08,100.0,+2.19,+7.69,43.44,100,+4.05
