Date,Temp,consumption,Month
204803,21.90319091,19307485,3
204804,26.0313,17315494,4
204805,29.51179091,15636008,5
204806,30.53853636,15140559,6
204807,31.63593636,14611016,7
204808,32.04611818,14413086,8
204809,30.08783636,15358041,9
204810,26.00091818,17330155,10
204811,22.85428182,18848543,11
204812,18.28617273,21052852,12
204901,16.19887273,22060064,1
204902,17.74712727,21312964,2
204903,18.66939091,20867933,3
204904,21.37000909,19564768,4
204905,25.97209091,17344065,5
204906,29.4044,15687828,6
204907,32.1325,14371403,7
204908,31.82237273,14521053,8
204909,30.30158182,15254900,9
204910,26.5542,17063173,10
204911,21.92836364,19295338,11
204912,19.4483,20492075,12
205001,18.63350909,20885247,1
205002,17.14056364,21605658,2
205003,19.21793636,20603236,3
205004,22.94868182,18802990,4
205005,26.01590909,17322921,5
205006,30.87194545,14979675,6
205007,32.1081,14383177,7
205008,31.61580909,14620728,8
205009,30.76181818,15032816,9
205010,28.17733636,16279940,10
205011,23.14376364,18708855,11
205012,19.96344545,20243496,12
205101,16.12385455,22096263,1
205102,15.67284545,22313895,2
205103,19.06993636,20674652,3
205104,21.25821818,19618712,4
205105,27.60161818,16557748,5
205106,31.17032727,14835693,6
205107,32.13577273,14369824,7
205108,31.50495455,14674220,8
205109,30.465,15176043,9
205110,27.05535455,16821344,10
205111,24.45787273,18074741,11
205112,20.82390909,19828285,12
205201,16.67779091,21828965,1
205202,19.6385,20400296,2
205203,20.26774545,20096658,3
205204,23.84972727,18368197,4
205205,25.56389091,17541039,5
205206,29.70589091,15542346,6
205207,32.06790909,14402571,7
205208,30.74242727,15042173,8
205209,29.12373636,15823261,9
205210,24.89533636,17863646,10
205211,23.24492727,18660039,11
205212,19.85861818,20294079,12
205301,18.60597273,20898535,1
205302,18.66146364,20871758,2
205303,19.31740909,20555236,3
205304,20.90505455,19789129,4
205305,25.9403,17359406,5
205306,30.29214545,15259453,6
205307,31.77865455,14542148,7
205308,31.55487273,14650133,8
205309,30.69079091,15067089,9
205310,27.08201818,16808478,10
205311,23.10743636,18726385,11
205312,20.29540909,20083309,12
205401,17.45011818,21456284,1
205402,21.22951818,19632561,2
205403,21.81790909,19348637,3
205404,24.22582727,18186713,4
205405,28.5143,16117340,5
205406,31.71535455,14572693,6
205407,32.45002727,14218182,7
205408,31.76195455,14550207,8
205409,30.7231,15051499,9
205410,26.03345455,17314455,10
205411,22.33014545,19101461,11
205412,17.79524545,21289745,12
205501,15.44494545,22423866,1
205502,17.13639091,21607671,2
205503,18.5503,20925399,3
205504,21.9459,19286876,4
205505,27.1209,16789716,5
205506,31.06504545,14886496,6
205507,32.45124545,14217594,7
205508,32.09555455,14389231,8
205509,29.73056364,15530440,9
205510,25.57034545,17537925,10
205511,20.7166,19880066,11
205512,19.20386364,20610026,12
205601,16.34910909,21987568,1
205602,18.56506364,20918275,2
205603,21.32743636,19585311,3
205604,24.40980909,18097934,4
205605,28.8819,15939957,5
205606,30.13489091,15335335,6
205607,32.63975455,14126631,7
205608,29.92312727,15437520,8
205609,30.53995455,15139875,9
205610,25.66306364,17493184,10
205611,23.4104,18580192,11
205612,17.85217273,21262276,12
205701,18.30770909,21042460,1
205702,19.50018182,20467040,2
205703,20.21908182,20120140,3
205704,22.09659091,19214161,4
205705,26.90209091,16895300,5
205706,30.53077273,15144305,6
205707,30.21203636,15298109,7
205708,31.5901,14633134,8
205709,28.70327273,16026153,9
205710,26.85176364,16919585,10
205711,22.27056364,19130212,11
205712,20.04174545,20205712,12
205801,16.94971818,21697749,1
205802,16.10475455,22105480,2
205803,18.93089091,20741748,3
205804,24.89784545,17862435,4
205805,25.44429091,17598752,5
205806,30.18155455,15312818,6
205807,31.19553636,14823528,7
205808,31.28902727,14778415,8
205809,30.07698182,15363279,9
205810,25.72534545,17463131,10
205811,21.69209091,19409350,11
205812,18.6287,20887568,12
205901,16.30234545,22010134,1
205902,19.38590909,20522182,2
205903,18.8686,20771806,3
205904,22.69028182,18927680,4
205905,27.25257273,16726178,5
205906,31.11383636,14862952,6
205907,30.96852727,14933070,7
205908,31.21824545,14812570,8
205909,30.22968182,15289594,9
205910,26.99228182,16851779,10
205911,21.43454545,19533626,11
205912,17.90553636,21236525,12
206001,14.82359091,22723697,1
206002,16.54745455,21891858,2
206003,19.27494545,20575726,3
206004,22.82538182,18862488,4
206005,27.13445455,16783175,5
206006,30.05601818,15373395,6
206007,31.26961818,14787780,7
206008,31.54964545,14652655,8
206009,30.42086364,15197341,9
206010,27.21381818,16744879,10
206011,21.56270909,19471782,11
206012,21.18693636,19653108,12
206101,15.73390909,22284429,1
206102,19.59251818,20422484,2
206103,19.69827273,20371453,3
206104,22.43970909,19048592,4
206105,27.54535455,16584898,5
206106,30.56256364,15128965,6
206107,32.13172727,14371776,7
206108,31.76059091,14550865,8
206109,29.83595455,15479585,9
206110,26.38617273,17144253,10
206111,22.67312727,18935957,11
206112,18.04825455,21167658,12
206201,19.2247,20599972,1
206202,20.91092727,19786295,2
206203,19.91820909,20265324,3
206204,22.97030909,18792554,4
206205,25.52679091,17558942,5
206206,30.1621,15322206,6
206207,30.80625455,15011373,7
206208,31.03149091,14902687,8
206209,30.44695455,15184751,9
206210,25.46247273,17589978,10
206211,22.76554545,18891362,11
206212,19.10235455,20659009,12
206301,14.4858,22886695,1
206302,16.57732727,21877443,2
206303,20.05118182,20201159,3
206304,21.90057273,19308748,4
206305,26.76648182,16960738,5
206306,30.49163636,15163190,6
206307,32.39949091,14242568,7
206308,32.33153636,14275359,8
206309,30.96726364,14933679,9
206310,26.10861818,17278185,10
206311,24.78296364,17917870,11
206312,19.18013636,20621476,12
206401,18.0164,21183029,1
206402,19.38257273,20523792,2
206403,21.1777,19657565,3
206404,24.87481818,17873547,4
206405,28.77706364,15990545,5
206406,30.17979091,15313669,6
206407,31.95555455,14456787,7
206408,31.78550909,14538841,8
206409,30.3793,15217397,9
206410,27.60378182,16556704,10
206411,22.49067273,19024000,11
206412,19.43546364,20498269,12
206501,16.87609091,21733277,1
206502,16.60588182,21863665,2
206503,18.66608182,20869529,3
206504,23.80841818,18388131,4
206505,28.20363636,16267249,5
206506,30.90698182,14962768,6
206507,31.30550909,14770461,7
206508,31.22741818,14808144,8
206509,30.11429091,15345276,9
206510,26.23046364,17219389,10
206511,21.77696364,19368395,11
206512,18.5933,20904650,12
206601,16.55646364,21887511,1
206602,17.16858182,21592138,2
206603,20.51594545,19976890,3
206604,23.66349091,18458064,4
206605,26.88140909,16905280,5
206606,29.32217273,15727507,6
206607,31.89580909,14485616,7
206608,31.63388182,14612007,8
206609,31.38407273,14732551,9
206610,27.82502727,16449944,10
206611,24.135,18230541,11
206612,18.69388182,20856115,12
206701,17.61656364,21375967,1
206702,14.90911818,22682426,2
206703,21.47371818,19514724,3
206704,26.60572727,17038309,4
206705,28.67007273,16042173,5
206706,31.01474545,14910767,6
206707,32.40967273,14237655,7
206708,31.37613636,14736381,8
206709,30.73725455,15044669,9
206710,26.84389091,16923384,10
206711,21.77048182,19371523,11
206712,19.42889091,20501441,12
206801,17.44259091,21459916,1
206802,17.01422727,21666620,2
206803,19.0545,20682101,3
206804,24.34900909,18127272,4
206805,26.60393636,17039173,5
206806,29.87800909,15459292,6
206807,32.36910909,14257229,7
206808,31.92617273,14470965,8
206809,30.0675,15367854,9
206810,26.99663636,16849678,10
206811,20.82434545,19828074,11
206812,17.58188182,21392703,12
206901,18.54110909,20929834,1
